day,trackId,startUTC,artist,title,slug,form,desc,imgur,url,website,instagram,twitter,facebook,module
1,0,17:08,Camila Colussi,WordsOfRebellion,wordsofrebellion,Video of the work + Q&A,"Collection and transcription of protest posters that crossed the streets of Chile (2019-20). While being abroad, social networks has been my main access to those images. This proposal is an attempt to build a story mediated by the digital platform as a narrative, sensitive and knowledge source.",1lAVRpr,https://www.camilacolussi.com/wordsofrebellion,https://www.camilacolussi.com,camilacolussi,,,
1,0,17:16,Katie Tindle,Drips,drips,Talk / Demo + Q&A,"Drips is the product of a research project into biosensing (self tracking health data) as a practice, and reflective writing as a creative research technique.",7dZTLCr,http://doc.gold.ac.uk/compartsblog/index.php/work/motivation-menstrual-biosensing-as-identity-construction/,https://cargocollective.com/katietindle/Home,ktwindmill,,,
1,0,17:30,Christina Karpodini,Detuned piano,detuned-piano,Video of the work + Q&A,Detuned piano is an audio&light interactive installation. It is aiming to reflect the impact of the misleading information we find on the Internet and the impact of them on the mental health of people.,fFqqtuP,,https://ckarpodini.wixsite.com/christinakarpodini,christikarp,,,
1,0,17:38,Veera Jussila,A Magical AI Angle,a-magical-ai-angle,Talk / Demo + Q&A,"A prototype for the sonic part of an interactive installation. The piece takes viewer to an insecure AI oracle that reads aloud predictions about its own future. The name comes from one of the phrases in AI predictions. Built with MaxMSP,  Arduino and a text generation RNN in Tensorflow.",UsXvov6,https://www.veerajussila.com/code-and-art/a-magical-ai-angle,https://www.veerajussila.com,veeraidaj,JussilaVeera,https://www.facebook.com/veera.jussila,
1,0,17:46,Yuquian Sun,Digital Fossils,digital-fossils,Talk / Demo + Q&A,,,,,,,,
1,0,18:00,Jakob Jennerholm Hammar,Weaving Drafts at the Edge of the Abyss,weaving-drafts-at-the-edge-of-the-abyss,Talk / Demo + Q&A,"A series of experimental explorations into digital weaving drafts/notation. The project is founded on a series of vague questions about time, nature, relationality and pattern-making which are engaged with through the creation of generative and interactive digital and physical weaving drafts.",Z84HQD1,https://jennerholmhammar.info/project/weaving-drafts/,https://jennerholmhammar.info,knoegle,,,
1,0,18:08,Alesandra Miro Quesada,My Margins,my-margins,Talk / Demo + Q&A,,,,,,,,
1,0,18:16,Jude Marcella,The Snow Globe,the-snow-globe,Talk / Demo + Q&A,A diorama,ocbg23V,http://doc.gold.ac.uk/compartsblog/index.php/work/the-snow-globe-a-critical-reengagement-with-onscreen-life/,https://www.judemarcella.com/,meminine,,,
1,0,18:30,Chai Chang,I am my sex slave / The tree in my memory.,i-am-my-sex-slave-the-tree-in-my-memory,Video of the work + Q&A,,,,,,,,
1,0,18:38,Clemence Debaig,Is It Getting Better?,is-it-getting-better,Talk / Demo + Q&A,This kinetic sculpture changes its shape depending on the latest COVID19 data in the UK. It automatically interrogates an online data source once per day. Its two states (better / worse) aims at simplifying the understanding of the data and go against the current information overload.,ktdTEc8,https://www.youtube.com/watch?v=PQAP3vp-uzI,http://www.clemencedebaig.com/,demzou_art,clemencedebaig,/demzouart,
1,0,18:46,James Lawton,Public Opinion,public-opinion,?,An audio performance that has a socio-political bent to it about how we lose our own unique voice within the onslaught of pervasive media. It's strongly based off of media and public opinion literature. It takes its name from the highly influential and controversial 1922 book by Walter Lippmann.,SQZ4E59,https://jameslawton.net/public-opinion,https://jameslawton.net/,jameslawtonart,jameslawtonart,jameslawtonart,
