day,startTime,artist,title,slug,form,desc,thumbUrl,url,website,instagram,twitter,facebook,module
1,18:08,Camila Colussi,WordsOfRebellion,wordsofrebellion,Video of the work + Q&A,"Collection and transcription of protest posters that crossed the streets of Chile (2019-20). While being abroad, social networks has been my main access to those images. This proposal is an attempt to build a story mediated by the digital platform as a narrative, sensitive and knowledge source.",https://imgur.com/1lAVRpr,https://www.camilacolussi.com/wordsofrebellion,https://www.camilacolussi.com,@camilacolussi,,,
1,18:16,Katie Tindle,Drips,drips,Talk / Demo + Q&A,,,,,,,,
1,18:30,Christina Karpodini,Detuned piano,detuned-piano,Video of the work + Q&A,Detuned piano is an audio&light interactive installation. It is aiming to reflect the impact of the misleading information we find on the Internet and the impact of them on the mental health of people.,https://imgur.com/fFqqtuP,,https://ckarpodini.wixsite.com/christinakarpodini,@christikarp,,,
1,18:38,Veera Jussila,A Magical AI Angle,a-magical-ai-angle,Talk / Demo + Q&A,,,,,,,,
1,18:46,Yuquian Sun,Digital Fossils,digital-fossils,Talk / Demo + Q&A,,,,,,,,
1,19:00,Jakob Jennerholm Hammar,Weaving Drafts at the Edge of the Abyss,weaving-drafts-at-the-edge-of-the-abyss,Talk / Demo + Q&A,"A series of experimental explorations into digital weaving drafts/notation. The project is founded on a series of vague questions about time, nature, relationality and pattern-making which are engaged with through the creation of generative and interactive digital and physical weaving drafts.",https://imgur.com/Z84HQD1,https://jennerholmhammar.info/project/weaving-drafts/,https://jennerholmhammar.info,https://www.instagram.com/knoegle/,,,
1,19:08,Alesandra Miro Quesada,My Margins,my-margins,Talk / Demo + Q&A,,,,,,,,
1,19:16,Jude Marcella,The Snow Globe,the-snow-globe,Talk / Demo + Q&A,,,,,,,,
1,19:30,Chai Chang,I am my sex slave / The tree in my memory.,i-am-my-sex-slave-the-tree-in-my-memory,Video of the work + Q&A,,,,,,,,
1,19:38,Clemence Debaig,Is It Getting Better?,is-it-getting-better,Talk / Demo + Q&A,This kinetic sculpture changes its shape depending on the latest COVID19 data in the UK. It automatically interrogates an online data source once per day. Its two states (better / worse) aims at simplifying the understanding of the data and go against the current information overload.,https://imgur.com/a/PAH9xzX,https://www.youtube.com/watch?v=PQAP3vp-uzI,http://www.clemencedebaig.com/,@demzou_art,@clemencedebaig,/demzouart,
1,19:46,James Lawton,Public Opinion,public-opinion,?,,,,,,,,
1,20:00,Chai Chang,Stop projecting your feelings onto others.,stop-projecting-your-feelings-onto-others,Video of the work + Q&A,,,,,,,,
1,20:08,Mattia Spagnuolo,#iorestoacasa,#iorestoacasa,Talk / Demo + Q&A,#iorestoacasa is a virtual artefact that visualizes data relative to the COVID-19 pandemic in the form of a particle system. The most relevant data about the virus outbreak is mapped to variables that modify the shape and color of the system.,https://imgur.com/1izd17T,https://www.mattiaspagnuolo.com/works/iorestoacasa,https://www.mattiaspagnuolo.com/,@mattia_spagnuolo,,,
1,20:16,Callum Fowler,a human and a computer,a-human-and-a-computer,Performance,"This performance is a human-computer collaboration. The human improvises on an electric guitar, whilst the computer generates a response using MaxMSP, resulting in a sound collage. The piece focuses on aspects of generative audio and human-computer interaction.",https://imgur.com/a/oh8HIMC,,,@motivated_sloth,,,
1,18:08,Oliver Schilke,Sumbios,sumbios,Video of the work + Q&A,,,,,,,,
1,18:16,Chloe Karnezi,Cash Cow,cash-cow,Talk / Demo + Q&A,,,,,,,,
1,18:30,Duncan Paterson,CrowMisoMoon,crowmisomoon,Video of the work + Q&A,,,,,,,,
1,18:38,Karen Okpoti,Symbiosis,symbiosis,Video of the work + Q&A,,,,,,,,
1,18:46,Lou Terry,Feral Robotic Birds,feral-robotic-birds,Video of the work + Q&A,"Birdsong adapts and responds to sonic changes in the environment.  Using nightingale songs as a start-point, Feral Robotic Birds speculate the future of birdsong by listening to their environments, and slowly incorporating the sonic history of those environments into their ever-changing songs.",https://imgur.com/a/NXExU0e,http://doc.gold.ac.uk/compartsblog/index.php/work/feral-robotic-birds/,,,,,
1,19:00,Kristine Hillquist,Everything Glitched,everything-glitched,Talk / Demo + Q&A,,,,,,,,
1,19:08,Gerolamo Gnecchi Ruscone,For the Tide!,for-the-tide,Talk / Demo + Q&A,This project is a first step to understand the Thames Tide ecosystem and pave new horizons in designing with the Tide.,https://imgur.com/a/qh0wqp9,,,,,,
1,19:16,Yuhyeon Jun,Wave Scape in Lake,wave-scape-in-lake,Talk / Demo + Q&A,,,,,,,,
1,19:30,Yanyi Lu,Replica,replica,Video of the work + Q&A,"This artwork will tell a story of my digital plant and I in a cyberpunk way. I raised some questions based on the semiotics of plant and human and started my project with these. Can I keep my dying plants forever? Can I be my plant, and can we be together?",https://imgur.com/a/M7dGlIw,https://yanyilu.wordpress.com/2020/05/14/replica/,https://yanyilu.wordpress.com/,@yanyiiscoding,,,
1,19:38,Yasmine Boudiaf,Algerian Gestures,algerian-gestures,Video of the work + Q&A,,,,,,,,
1,19:46,Yishuai Zhang,Gcosystem_Transluscence,gcosystem_transluscence,Talk / Demo + Q&A,,,,,,,,
1,20:00,Christina Karpodini,"""Οικολογια""(ecologia)",oikologiaecologia,Performance,,,,,,,,
