track,startTime,artist,title,form
Commixt,18:00,intro,,
Commixt,18:08,Camilla Colussi,WordsOfRebellion,Video of the work + Q&A
Commixt,18:16,Katie Tindle,Drips,Talk / Demo + Q&A
Commixt,18:24,break,,
Commixt,18:30,Christina Karpodini,detuned piano,Video of the work + Q&A
Commixt,18:38,Veera Jussila,A Magical AI Angle,Talk / Demo + Q&A
Commixt,18:46,Yuquian Sun,Digital fossil,Talk / Demo + Q&A
Commixt,18:54,break,,
Commixt,19:00,Jakob Jennerholm Hammar,Weaving Drafts at the Edge of the Abyss,Talk / Demo + Q&A
Commixt,19:08,Alesandra Miro Quesada,Creating with Machine Learning,Talk / Demo + Q&A
Commixt,19:16,Jude Marcella,The Snow Globe,Talk / Demo + Q&A
Commixt,19:24,break,,
Commixt,19:30,Chai Chang,I am my sex slave,Video of the work + Q&A
Commixt,19:38,Clemence Debaig,Is it Getting Better?,Talk / Demo + Q&A
Commixt,19:46,James Lawton,Public Opinion,?
Commixt,19:54,break,,
Commixt,20:00,Chai Chang,Stop projecting your feelings onto others.,Video of the work + Q&A
Commixt,20:08,Mattia Spagnuolo,#iorestoacasa,Video of the work + Q&A
Commixt,20:16,Callum Fowler,a human and a computer,Performance
Terra,18:00,intro,,
Terra,18:08,Oliver Schilke,Sumbios,Video of the work + Q&A
Terra,18:16,Chloe Karnezi,Cash Cow,Talk / Demo + Q&A
Terra,18:24,break,,break
Terra,18:30,Duncan Paterson,CrowMisoMoon,Video of the work + Q&A
Terra,18:38,Karen Okpoti,Symbiosis,Video of the work + Q&A
Terra,18:46,Lou Terry,Feral Robotic Birds,Video of the work + Q&A
Terra,18:54,break,,break
Terra,19:00,Kristine Hillquist,Everything Glitched,Talk / Demo + Q&A
Terra,19:08,Gerolamo Gnecchi Ruscone,For the Tide!,Talk / Demo + Q&A
Terra,19:16,Yasmine Boudiaf,Algerian Hand Gestures,Video of the work + Q&A
Terra,19:24,break,,break
Terra,19:30,Yanyi Lu,Replica,Video of the work + Q&A
Terra,19:38,Yuhyeon Jun,Wave Scape in Lake,Talk / Demo + Q&A
Terra,19:46,Yishuai Zhang,Translucence,Talk / Demo + Q&A
Terra,19:54,break,,break
Terra,20:00,Chloe Karnezi,A Rose is a Rose is a Rose,Video of the work + Q&A
Terra,20:08,Christina Karpodini,"""Οικολογία"" (ecologia)",Performance
Locus,18:00,intro,,
Locus,18:08,Elisavet Koliniati,Inside Us - A VR experience,Video of the work + Q&A
Locus,18:16,Nathan Adams,orbiðvēl.V,Talk / Demo + Q&A
Locus,18:24,break,,
Locus,18:30,Jingyi Chen,The heart of the cosmos,Video of the work + Q&A
Locus,18:38,Keir Clyne,_dampMap,Talk / Demo + Q&A
Locus,18:46,Jonathan Fuller-Rowell,How long is now?,Video of the work + Q&A
Locus,18:54,break,,
Locus,19:00,Anna Alfut,Data characters,Talk / Demo + Q&A
Locus,19:08,Yanyi Lu,The Obscure: Mourning The Lost Art,Video of the work + Q&A
Locus,19:16,Jingyi Chen,CyKink ,Video of the work + Q&A
Locus,19:24,break,,
Locus,19:30,Romain Biros,Particles and 3D experimentations,Video of the work + Q&A
Locus,19:38,Owen Planchart,Pyrophonic,Video of the work + Q&A
Locus,19:46,Yuwen Huang,Project about 3D Studio and openFrameworks,Video of the work + Q&A
Locus,19:54,break,,
Locus,20:00,Hazel Ryan,Middle Ground,Video of the work + Q&A
Locus,20:08,David R. Mincher,Laughing in the Face of Death,Video of the work + Q&A
Locus,20:16,Yishuai Zhang,Between,Performance
Opt,18:00,intro,,
Opt,18:08,Eleanor Edwards,doNOTtouch,Video of the work + Q&A
Opt,18:16,Hazel Ryan,Boundary,Talk / Demo + Q&A
Opt,18:24,break,,
Opt,18:30,Owen Planchard,The Unbearable Lightness of Mixed Signals,Video of the work + Q&A
Opt,18:38,Camilla Colussi,The future,Video of the work + Q&A
Opt,18:46,Chris Newth,Computational Spinning Wheel,Talk / Demo + Q&A
Opt,18:54,break,,
Opt,19:00,Yu Liao,You Cannot Recognise,Video of the work + Q&A
Opt,19:08,Alex J. Fordery,"""The Usual""",Talk / Demo + Q&A
Opt,19:16,Jonathon Fuller-Rowell,Performing objects,Live performance
Opt,19:26,break,,
Proximity,19:30,Katie Tindle,The Yellow wallpaper,Talk / Demo + Q&A
Proximity,19:38,Felix Loftus,"My Bitrot, Gutweed Breath",Talk / Demo + Q&A
Proximity,19:46,Mattia Spagnuolo,#andratuttobene,Video of the work + Q&A
Proximity,19:54,break,,
Proximity,20:00,Mengdi Li,"Cough, No Free",Video of the work + Q&A
Proximity,20:08,Veera Jussila,Postcards from Lost Cities,Talk / Demo + Q&A
Proximity,20:16,Marcus Ansley,The Best Days,Video of the work + Q&A
